word,count
work,414
management,61
operation,53
employees,49
etc,46
business,39
machines,37
least,30
production,30
transport,27
sales,26
industry,26
service,23
technical,23
teaching,23
companies,22
machinery,21
regarding,20
including,19
excl,19
construction,18
fewer,18
engineering,18
general,17
cleaning,17
design,16
way,16
processing,16
industrial,15
organization,15
assistant,15
main,14
drivers,14
public,13
sector,13
activity,13
enterprises,13
related,13
building,13
forestry,12
services,12
level,11
field,11
control,11
operator,11
metal,11
organizations,10
agriculture,10
fishing,10
social,10
concerning,10
special,10
machine,10
care,10
schools,10
laboratory,10
working,10
vans,10
leather,10
aid,10
overall,9
preparation,9
well,9
relating,9
mechanics,9
administration,8
interest,8
health,8
food,8
news,8
educational,8
insurance,8
tasks,8
wood,8
textile,8
assembly,8
goods,8
retail,7
education,7
areas,7
activities,7
financial,7
research,7
advice,7
chemical,7
plant,7
artistic,7
ships,7
technician,7
passenger,7
administrative,7
assistance,7
without,7
glass,7
printing,7
cargo,7
company,6
sports,6
systems,6
planning,6
plants,6
nursing,6
accounting,6
equipment,6
sound,6
air,6
pharmaceutical,6
credit,6
bus,6
kitchen,6
materials,6
installation,6
painting,6
automotive,6
national,6
international,6
top,5
manufacturing,5
personal,5
computer,5
development,5
science,5
high,5
analysis,5
maintenance,5
pharmacy,5
biology,5
zoology,5
dental,5
eg,5
products,5
graphic,5
recording,5
hospitals,5
treatment,5
institutions,5
travel,5
secretarial,5
decoration,5
bank,5
telephone,5
hunting,5
poultry,5
fish,5
raw,5
carpenters,5
mechanical,5
manual,5
process,5
renovation,5
tankers,5
communication,4
financing,4
non,4
marketing,4
supply,4
biological,4
sciences,4
physics,4
chemistry,4
geology,4
methods,4
biochemistry,4
pharmacology,4
primary,4
vocational,4
colleges,4
auditing,4
functions,4
coverage,4
film,4
laboratories,4
quality,4
agency,4
audio,4
traffic,4
securities,4
instruments,4
sale,4
assessment,4
handling,4
internal,4
office,4
calculation,4
transportation,4
rescue,4
customer,4
private,4
homes,4
horticulture,4
fruit,4
animals,4
mining,4
quarrying,4
assistants,4
concrete,4
manufacture,4
ceramic,4
mineral,4
dangerous,4
street,4
qualifications,4
undisclosed,3
leadership,3
economic,3
personnel,3
information,3
fields,3
astronomy,3
meteorology,3
mathematical,3
statistical,3
concepts,3
theories,3
system,3
programming,3
structures,3
architectural,3
medicine,3
natural,3
midwife,3
botany,3
breeding,3
consultancy,3
medical,3
school,3
preschool,3
hand,3
finance,3
language,3
technology,3
training,3
illustration,3
graphical,3
electrical,3
installations,3
electronic,3
extraction,3
drawing,3
video,3
security,3
staff,3
diet,3
therapist,3
children,3
currency,3
property,3
transactions,3
freight,3
forwarding,3
case,3
similar,3
post,3
savings,3
reception,3
tourist,3
valet,3
surveillance,3
gardening,3
masonry,3
steel,3
roofing,3
precision,3
mechanic,3
binding,3
stationary,3
operators,3
rubber,3
plastic,3
shoe,3
moving,3
tanker,3
crane,3
door,3
window,3
loading,3
unloading,3
legislative,2
legislation,2
incl,2
humanitarian,2
political,2
politically,2
leaders,2
whole,2
equivalent,2
wholesale,2
hotel,2
catering,2
police,2
culture,2
addition,2
placed,2
group,2
businesses,2
knowledge,2
statistics,2
geophysics,2
operating,2
implementation,2
configuration,2
buildings,2
current,2
processes,2
mine,2
engineer,2
genetics,2
ecology,2
farming,2
healthcare,2
duties,2
household,2
course,2
economy,2
features,2
legal,2
lawyer,2
dissemination,2
economics,2
translation,2
counseling,2
requires,2
writer,2
press,2
illustrative,2
illustrations,2
music,2
song,2
religion,2
