Valid from,Valid until,Code,Text
01-01-1600,31-12-9999,0,undisclosed
01-01-1600,31-12-9999,11000,Military / Civil Defense
01-01-1600,31-12-9999,100000,"Leadership at the top level in companies, organizations and the public sector"
01-01-1600,31-12-9999,110000,Legislative work and management in public administration and interest organizations
01-01-1600,31-12-9999,111000,"Legislative work and overall administration of legislation, before 2004 incl. overall public management"
01-01-1600,31-12-9999,112000,General public management
01-01-1600,31-12-9999,114000,Overall management of interest organizations and humanitarian organizations
01-01-1600,31-12-9999,114100,Management of political party organizations
01-01-1600,31-12-9999,114200,Management of economic interest organizations
01-01-1600,31-12-9999,114210,Politically responsible / politically elected leaders in economic interest organizations
01-01-1600,31-12-9999,114220,Employed leaders in economic interest organizations
01-01-1600,31-12-9999,114300,Management work in humanitarian or other interest groups
01-01-1600,31-12-9999,120000,Top management in the company in business with at least 10 employees
01-01-1600,31-12-9999,121000,Management comprising the company as a whole in business with at least 10 employees
01-01-1600,31-12-9999,121010,"Top management level, CEO or equivalent in company with at least 10 employees"
01-01-1600,31-12-9999,121020,Crossing directors in business with at least 10 employees
01-01-1600,31-12-9999,122000,Management of the main activity in business with at least 10 employees
01-01-1600,31-12-9999,122100,"Management of the farm in agriculture, forestry and fishing in business with at least 10 employees"
01-01-1600,31-12-9999,122200,Production management in industrial enterprises in companies with at least 10 employees
01-01-1600,31-12-9999,122210,Top management of manufacturing in industrial enterprises in business with at least 10 employees
01-01-1600,31-12-9999,122220,Leadership of production in industrial companies in other companies with at least 10 employees
01-01-1600,31-12-9999,122300,Management of production in the construction sector in a company with at least 10 employees
01-01-1600,31-12-9999,122400,Management of sales in wholesale and retail business in business with at least 10 employees
01-01-1600,31-12-9999,122500,Management of the main activity in hotel and catering business in business with at least 10 employees
01-01-1600,31-12-9999,122600,Management of the main activity in companies in the field of transport and communication in business with at least 10 employees
01-01-1600,31-12-9999,122700,Management of the main activity of companies in business services in companies with at least 10 employees
01-01-1600,31-12-9999,122800,Management of the main activity of companies in the field of personal services in enterprises with at least 10 employees
01-01-1600,31-12-9999,122900,Management of the main activity of other companies in business with at least 10 employees
01-01-1600,31-12-9999,122910,Management in police and justice in business with at least 10 employees
01-01-1600,31-12-9999,122920,Management in the education sector in business with at least 10 employees
01-01-1600,31-12-9999,122930,Management in the social and health sector in business with at least 10 employees
01-01-1600,31-12-9999,122940,"Management of other public areas, including sports, culture and service activities in business with at least 10 employees"
01-01-1600,31-12-9999,122990,Management of the main activity in addition in business with at least 10 employees
01-01-1600,31-12-9999,123000,Management of specialist areas in business with at least 10 employees
01-01-1600,31-12-9999,123100,Work concerning administration and financing in non-financial companies in companies with at least 10 employees
01-01-1600,31-12-9999,123200,Personnel management in business with at least 10 employees
01-01-1600,31-12-9999,123300,"Sales and marketing management, excl. sales company in business with at least 10 employees"
01-01-1600,31-12-9999,123400,Information and marketing management in business with at least 10 employees
01-01-1600,31-12-9999,123500,Purchasing and supply management in business with at least 10 employees
01-01-1600,31-12-9999,123600,"Computer management, management of computer business is placed in group 131700 in business with at least 10 employees"
01-01-1600,31-12-9999,123700,Research and development management in business with at least 10 employees
01-01-1600,31-12-9999,123900,Management of other special areas in business with at least 10 employees
01-01-1600,31-12-9999,130000,Management of business with fewer than 10 employees
01-01-1600,31-12-9999,131000,Management of business with fewer than 10 employees
01-01-1600,31-12-9999,131100,"Management of farms in agriculture, forestry and fishing in businesses with fewer than 10 employees"
01-01-1600,31-12-9999,131200,Production management in industrial enterprises in companies with fewer than 10 employees
01-01-1600,31-12-9999,131210,Top management of manufacturing in industrial enterprises in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131220,"Management of production in industrial companies, incidentally, in companies with fewer than 10 employees"
01-01-1600,31-12-9999,131300,Management of production in the construction sector in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131400,Management of sales in wholesale and retail business in companies with fewer than 10 employees
01-01-1600,31-12-9999,131500,Leadership of the main activity in hotel and catering activities in enterprises with fewer than 10 employees
